Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,32.0,1.0,32.0,32.0,0.1,13.706999999999994,0.0,0.0,0.005067586898803711,,,,,,,,,,,,,,,,,,,,,3.76830582215674,4.271250231947495,12.754965959503968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,64.0,2.0,32.0,64.0,0.1,19.505000000000013,0.0,0.0,3.403932809829712,,,,,,,,,,,,,,,,,,,,,6.535926669066714,6.268241501789498,17.76706812151683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,139.0,3.0,75.0,139.0,0.1,28.70600000000003,0.0,0.0,10.30607295036316,,,,,,,,,,,,,,,,,,,,,9.572767956712106,6.057720130774146,21.963497635410576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,171.0,4.0,32.0,171.0,0.1,17.104000000000013,0.0,0.0,13.770626068115234,,,,,,,,,,,,,,,,,,,,,5.451996160430523,5.319468240367184,15.671218476341421,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,205.0,5.0,34.0,205.0,0.1,22.004000000000012,0.0,0.0,17.3228542804718,,,,,,,,,,,,,,,,,,,,,7.653727565728332,6.9179295754529795,19.795666388789268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,238.0,6.0,33.0,238.0,0.1,19.007000000000016,0.0,0.0,20.81128168106079,,,,,,,,,,,,,,,,,,,,,6.026978691226461,6.159163896697265,17.363633335267075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,289.0,7.0,51.0,289.0,0.1,23.106000000000037,0.0,0.0,25.63072633743286,,,,,,,,,,,,,,,,,,,,,5.862349765845001,6.732659982854563,20.524641995121975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,321.0,8.0,32.0,321.0,0.1,11.605999999999993,0.0,0.0,29.104215383529663,,,,,,,,,,,,,,,,,,,,,2.966059822728828,3.505856056930267,10.873238298874373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,342.0,9.0,21.0,342.0,0.1,9.903999999999996,0.0,0.0,31.605692625045776,,,,,,,,,,,,,,,,,,,,,3.150210391671187,3.3236952745653134,9.430115108406335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,375.0,10.0,33.0,375.0,0.1,14.906999999999993,0.0,0.0,34.88997530937195,,,,,,,,,,,,,,,,,,,,,4.039664518836291,4.738112792676556,13.849516078751167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
