Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,264.0,1.0,264.0,264.0,0.0,7271.1658152467435,0.0,0.0,0.008466482162475586,,,,,,,,,,,,,,,,,,,,,1937.265282121287,372.5530785248454,2364.2235566162767,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,311.0,2.0,47.0,311.0,0.0,1948.1169984902313,0.0,0.0,4.837233543395996,,,,,,,,,,,,,,,,,,,,,1260.0752239597134,120.2869989659208,1388.7853242797655,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,570.0,3.0,259.0,570.0,0.0,6414.989414126151,0.0,0.0,30.521503686904907,,,,,,,,,,,,,,,,,,,,,1762.3197422950795,274.40562369419,2033.148548241695,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,676.0,4.0,106.0,676.0,0.0,3237.266786960138,0.0,0.0,41.0755729675293,,,,,,,,,,,,,,,,,,,,,1468.730731859676,226.84294995009088,1739.4192674446901,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,723.0,5.0,47.0,723.0,0.0,1803.9317882509304,0.0,0.0,45.74881172180176,,,,,,,,,,,,,,,,,,,,,1185.4975775076598,86.54898454794511,1281.7848477562075,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,776.0,6.0,53.0,776.0,0.0,1876.5930983756373,0.0,0.0,51.257660150527954,,,,,,,,,,,,,,,,,,,,,1201.0752152493794,90.88399987091938,1302.639231689154,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,883.0,7.0,107.0,883.0,0.0,3303.5629004342077,0.0,0.0,62.06083130836487,,,,,,,,,,,,,,,,,,,,,1526.2751290032343,222.7468655474295,1777.0611591558757,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,966.0,8.0,83.0,966.0,0.0,2538.8613762298633,0.0,0.0,70.60621738433838,,,,,,,,,,,,,,,,,,,,,1331.0035111265893,140.76089605539516,1481.9511578789195,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1028.0,9.0,62.0,1028.0,0.0,2234.107305352226,0.0,0.0,76.76410627365112,,,,,,,,,,,,,,,,,,,,,1295.2847942533426,150.48828351987635,1460.0864533365504,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1074.0,10.0,46.0,1074.0,0.0,1793.2516352347475,0.0,0.0,81.54537320137024,,,,,,,,,,,,,,,,,,,,,1172.9647636400568,83.69309037886102,1279.1427853895739,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1172.0,11.0,98.0,1172.0,0.0,2701.7749652720527,0.0,0.0,91.49659085273743,,,,,,,,,,,,,,,,,,,,,1303.1121347383466,145.72325572261568,1480.146753221205,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1230.0,12.0,58.0,1230.0,0.0,1942.253283824948,0.0,0.0,97.23378849029541,,,,,,,,,,,,,,,,,,,,,1209.6370846102889,86.68780731199473,1287.0082917077957,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1312.0,13.0,82.0,1312.0,0.0,2346.4373029252874,0.0,0.0,105.43472480773926,,,,,,,,,,,,,,,,,,,,,1240.7019249888986,111.37567984481149,1356.3228076288024,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1390.0,14.0,78.0,1390.0,0.0,2328.387213251161,0.0,0.0,113.51068139076233,,,,,,,,,,,,,,,,,,,,,1254.6247034780952,115.91586713470159,1382.4975533961679,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1442.0,15.0,52.0,1442.0,0.0,1732.1001984461548,0.0,0.0,118.97193312644958,,,,,,,,,,,,,,,,,,,,,1135.6164012419279,57.16519574797911,1202.3243753250358,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1600.0,16.0,158.0,1600.0,0.0,3859.1600959821453,0.0,0.0,134.50612497329712,,,,,,,,,,,,,,,,,,,,,1465.5611728665463,197.65580539851234,1650.1855656496812,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1692.0,17.0,92.0,1692.0,0.0,2734.897723424,0.0,0.0,143.67106127738953,,,,,,,,,,,,,,,,,,,,,1351.7920329329606,167.53276746572848,1563.997777926556,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2048.0,18.0,356.0,2048.0,0.0,9110.538671965885,0.0,0.0,178.76159286499023,,,,,,,,,,,,,,,,,,,,,2002.7933620378024,352.17226579368963,2355.5508480191165,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2104.0,19.0,56.0,2104.0,0.0,1969.6279257839474,0.0,0.0,184.539400100708,,,,,,,,,,,,,,,,,,,,,1213.554343741135,91.65624306637774,1316.2304798376808,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2289.0,20.0,185.0,2289.0,0.0,5567.694440167601,0.0,0.0,202.70831394195557,,,,,,,,,,,,,,,,,,,,,1867.850711834854,385.7314348684239,2273.3727961933446,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,75.0,1.0,75.0,2364.0,0.0,2509.0549718184493,0.0,0.0,572.581663608551,,,,,,,,,,,,,,,,,,,,,1357.636706417675,169.08728873978077,1546.9437999601485,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,237.0,2.0,162.0,2526.0,0.0,4489.5626198474565,0.0,0.0,588.7933158874512,,,,,,,,,,,,,,,,,,,,,1639.4774809534645,286.1098021100233,1951.9878205112996,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,301.0,3.0,64.0,2590.0,0.0,2301.3883999818554,0.0,0.0,595.454596042633,,,,,,,,,,,,,,,,,,,,,1338.4848021521107,158.43297306503104,1507.1690302725426,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
